model_name,accuracy_n,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,f1_weighted_n,f1_weighted_mean,f1_weighted_std,f1_weighted_ci_low,f1_weighted_ci_high,ordinal_mae_n,ordinal_mae_mean,ordinal_mae_std,ordinal_mae_ci_low,ordinal_mae_ci_high,severe_error_rate_n,severe_error_rate_mean,severe_error_rate_std,severe_error_rate_ci_low,severe_error_rate_ci_high
gradient_boosting,15,0.8665771943573668,0.01234355740371057,0.8597415601099483,0.8734128286047853,15,0.8512426470464257,0.014070132594418944,0.8434508673282695,0.859034426764582,15,0.13363113897596657,0.012273930065004362,0.12683406306351186,0.14042821488842128,15,0.00020833333333333335,0.0008068715304598785,-0.0002384972266493598,0.0006551638933160265
random_forest,15,0.8730400992685475,0.01315398828946776,0.8657556633558828,0.8803245351812122,15,0.8477041883120574,0.01383851400143041,0.8400406746953814,0.8553677019287335,15,0.12695990073145247,0.013153988289467762,0.11967546481878777,0.13424433664411717,15,0.0,0.0,0.0,0.0
knn,15,0.83926789446186,0.017001629961392466,0.8298527056127285,0.8486830833109915,15,0.8202410940285657,0.018693703946865942,0.8098888658393173,0.8305933222178141,15,0.16198406478578894,0.018414896954069154,0.1517862347628105,0.1721818948087674,15,0.0012519592476489027,0.002306076335466117,-2.5103260371263023e-05,0.0025290217556690683
decision_tree,15,0.8175881661442007,0.01812456300114949,0.8075511177052387,0.8276252145831627,15,0.8176275731037107,0.015875961523125915,0.8088357586576131,0.8264193875498083,15,0.18679075235109718,0.019179341115436066,0.17616958726199689,0.19741191744019748,15,0.004378918495297807,0.0028488748599534795,0.002801264183628017,0.005956572806967597
ridge,15,0.8446923981191222,0.012239628781791944,0.8379143176241626,0.8514704786140819,15,0.808806893809797,0.016526292142638295,0.7996549382706991,0.8179588493488948,15,0.15530760188087775,0.012239628781791956,0.14852952138591805,0.16208568237583745,15,0.0,0.0,0.0,0.0
ada_boost,15,0.7871466823406479,0.023721711614721263,0.7740100363140957,0.8002833283672001,15,0.787455322047076,0.01812361700362613,0.7774187974840808,0.7974918466100712,15,0.21285331765935217,0.023721711614721253,0.19971667163279996,0.22598996368590438,15,0.0,0.0,0.0,0.0
svm,15,0.6764615987460815,0.03060517542559651,0.6595130175190383,0.6934101799731246,15,0.7213277381645983,0.025037334736315944,0.7074625243376513,0.7351929519915452,15,0.33125391849529784,0.03217943609065694,0.313433540770333,0.3490742962202627,15,0.0077155172413793105,0.004243938964970002,0.0053653021790519735,0.010065732303706647
logistic_regression,15,0.6289309038662487,0.02563256516915299,0.614736062412619,0.6431257453198784,15,0.6841456824258256,0.022740864632122607,0.671552211353336,0.6967391534983153,15,0.3821212121212121,0.026218865048165667,0.3676016886167636,0.39664073562566055,15,0.011052115987460816,0.005536498242015511,0.007986105456127539,0.014118126518794093
naive_bayes,15,0.6314250261233021,0.05542593279655802,0.600731167616566,0.6621188846300382,15,0.6793195460289828,0.04694159379437804,0.653324157854031,0.7053149342039347,15,0.3769154911180773,0.05611754485413524,0.34583863061993136,0.40799235161622327,15,0.008340517241379308,0.005628679417388308,0.005223458476644842,0.011457576006113773
